"Time","CO2","Humidity","PM10","PM2.5","Temperature","TVOC"
2024-03-15 18:00:00,549 ppm,79 %H,20 μg/m³,19.3 μg/m³,23.1 °C,0.497 ppm
2024-03-15 16:00:00,546 ppm,78.8 %H,18.8 μg/m³,18 μg/m³,23.3 °C,0.488 ppm
2024-03-15 14:00:00,518 ppm,78.6 %H,19.7 μg/m³,18.8 μg/m³,23.3 °C,0.488 ppm
2024-03-15 12:00:00,497 ppm,79.0 %H,19.3 μg/m³,18.3 μg/m³,23.4 °C,0.489 ppm
2024-03-15 10:00:00,480 ppm,79.2 %H,18.2 μg/m³,17.3 μg/m³,23.2 °C,0.434 ppm
2024-03-15 08:00:00,484 ppm,78.4 %H,19.5 μg/m³,18.7 μg/m³,23.5 °C,0.470 ppm
2024-03-15 06:00:00,491 ppm,78 %H,18.3 μg/m³,17.8 μg/m³,24.3 °C,0.499 ppm
2024-03-15 04:00:00,504 ppm,78 %H,18.5 μg/m³,17.8 μg/m³,24.3 °C,0.507 ppm
2024-03-15 02:00:00,517 ppm,78 %H,19 μg/m³,17.8 μg/m³,24.2 °C,0.486 ppm
2024-03-15 00:00:00,530 ppm,78 %H,19.8 μg/m³,18.6 μg/m³,24.1 °C,0.552 ppm
2024-03-14 22:00:00,539 ppm,78 %H,18.3 μg/m³,17.5 μg/m³,23.9 °C,0.488 ppm
2024-03-14 20:00:00,546 ppm,78.0 %H,19.7 μg/m³,18.7 μg/m³,23.6 °C,0.404 ppm
2024-03-14 18:00:00,573 ppm,78.8 %H,18 μg/m³,17.6 μg/m³,23.2 °C,0.395 ppm
2024-03-14 16:00:00,614 ppm,77.8 %H,18 μg/m³,17.8 μg/m³,23.2 °C,0.368 ppm
2024-03-14 14:00:00,715 ppm,77.6 %H,16 μg/m³,15.3 μg/m³,23.2 °C,0.397 ppm
2024-03-14 12:00:00,784 ppm,77.5 %H,16.8 μg/m³,16.2 μg/m³,23.3 °C,0.467 ppm
2024-03-14 10:00:00,586 ppm,78 %H,16.8 μg/m³,16.3 μg/m³,23.5 °C,0.465 ppm
2024-03-14 08:00:00,467 ppm,77.8 %H,18.4 μg/m³,17.8 μg/m³,23.4 °C,0.355 ppm
2024-03-14 06:00:00,487 ppm,77.6 %H,19.9 μg/m³,19.5 μg/m³,24.4 °C,0.359 ppm
2024-03-14 04:00:00,505 ppm,77.5 %H,18.8 μg/m³,18.5 μg/m³,24.3 °C,0.383 ppm
