Time,CO2,Humidity,PM10,PM2.5,Temperature,TVOC
2024-02-12 22:00:00,456 ppm,79 %H,5.60 μg/m³,5.60 μg/m³,24 °C,0.642 ppm
2024-02-12 23:00:00,456 ppm,79 %H,5.25 μg/m³,5.13 μg/m³,24.1 °C,0.711 ppm
2024-02-13 00:00:00,456 ppm,79 %H,6 μg/m³,5.89 μg/m³,24.2 °C,0.744 ppm
2024-02-13 01:00:00,450 ppm,79 %H,6.44 μg/m³,6.33 μg/m³,24.2 °C,0.759 ppm
2024-02-13 02:00:00,447 ppm,79 %H,6.25 μg/m³,5.88 μg/m³,24.3 °C,0.775 ppm
2024-02-13 03:00:00,443 ppm,79 %H,6.11 μg/m³,6 μg/m³,24.3 °C,0.788 ppm
2024-02-13 04:00:00,438 ppm,79 %H,6.50 μg/m³,6.50 μg/m³,24.4 °C,0.733 ppm
2024-02-13 05:00:00,433 ppm,79 %H,6.67 μg/m³,6.67 μg/m³,24.4 °C,0.793 ppm
2024-02-13 06:00:00,433 ppm,79 %H,6.75 μg/m³,6.50 μg/m³,24.4 °C,0.810 ppm
2024-02-13 07:00:00,432 ppm,79 %H,7.33 μg/m³,6.89 μg/m³,24.5 °C,0.802 ppm
2024-02-13 08:00:00,432 ppm,76.9 %H,5.56 μg/m³,5.44 μg/m³,23.6 °C,0.904 ppm
2024-02-13 09:00:00,432 ppm,78.3 %H,6.13 μg/m³,6 μg/m³,23.3 °C,0.768 ppm
2024-02-13 10:00:00,429 ppm,78.6 %H,7.22 μg/m³,7 μg/m³,23.2 °C,0.694 ppm
2024-02-13 11:00:00,427 ppm,79.3 %H,7.63 μg/m³,7.38 μg/m³,23.2 °C,0.617 ppm
2024-02-13 12:00:00,430 ppm,79.5 %H,7.44 μg/m³,7.11 μg/m³,23.3 °C,0.620 ppm
2024-02-13 13:00:00,428 ppm,79.6 %H,7.50 μg/m³,7 μg/m³,23.3 °C,0.683 ppm
2024-02-13 14:00:00,432 ppm,79.4 %H,7.56 μg/m³,7.56 μg/m³,23.2 °C,0.679 ppm
2024-02-13 15:00:00,442 ppm,79.5 %H,7.11 μg/m³,7.11 μg/m³,23.1 °C,0.756 ppm
2024-02-13 16:00:00,454 ppm,79.6 %H,7.63 μg/m³,7 μg/m³,23.1 °C,0.715 ppm
2024-02-13 17:00:00,470 ppm,79.6 %H,7.11 μg/m³,6.89 μg/m³,23.1 °C,0.663 ppm
2024-02-13 18:00:00,484 ppm,79.6 %H,6.13 μg/m³,6 μg/m³,23.0 °C,0.666 ppm
2024-02-13 19:00:00,487 ppm,79.7 %H,6.22 μg/m³,6.22 μg/m³,23.0 °C,0.729 ppm
2024-02-13 20:00:00,497 ppm,79.9 %H,6 μg/m³,5.75 μg/m³,23.5 °C,0.735 ppm
2024-02-13 21:00:00,506 ppm,79.5 %H,6.22 μg/m³,6 μg/m³,23.7 °C,0.806 ppm
2024-02-13 22:00:00,508 ppm,79.5 %H,5.44 μg/m³,5.22 μg/m³,23.8 °C,0.813 ppm
2024-02-13 23:00:00,507 ppm,79.4 %H,6 μg/m³,5.88 μg/m³,23.9 °C,0.803 ppm
2024-02-14 00:00:00,500 ppm,79.3 %H,6.11 μg/m³,5.67 μg/m³,24.0 °C,0.792 ppm
2024-02-14 01:00:00,500 ppm,79 %H,6.50 μg/m³,5.88 μg/m³,24.0 °C,0.815 ppm
